date,value
2021-01-01,85.970835
2021-02-01,88.67462222222223
2021-03-01,91.06636818181818
2021-04-01,92.863845
2021-05-01,94.10482631578948
2021-06-01,95.25429047619048
2021-07-01,96.23778095238096
2021-08-01,97.21381428571428
2021-09-01,98.28499545454544
2021-10-01,99.24912631578948
2021-11-01,100.31007142857143
2021-12-01,101.8885
2022-01-01,103.98460000000001
2022-02-01,106.3071105263158
2022-03-01,109.45849999999999
2022-04-01,113.33447368421052
2022-05-01,117.77367
2022-06-01,122.73574
2022-07-01,128.44539047619048
2022-08-01,135.29029545454546
2022-09-01,143.62523333333334
2022-10-01,152.5928947368421
2022-11-01,162.11833333333334
2022-12-01,172.90316
2023-01-01,182.24409090909091
2023-02-01,191.89239444444445
2023-03-01,203.10553636363636
2023-04-01,216.55591666666666
2023-05-01,231.19083500000002
2023-06-01,248.76167
2023-07-01,266.4646857142857
2023-08-01,322.1341
2023-09-01,349.9980142857143
2023-10-01,350.020415
2023-11-01,353.84040999999996
2023-12-01,641.9947315789474
2024-01-01,818.3454545454545
2024-02-01,834.9140368421052
2024-03-01,850.3377210526315
2024-04-01,868.958335
2024-05-01,886.8636363636364
2024-06-01,903.7794176470588
2024-07-01,923.7651545454545
2024-08-01,942.9204454545455
2024-09-01,961.8254047619048
2024-10-01,981.5681772727272
2024-11-01,1001.8377157894737
2024-12-01,1020.7061421052632
2025-01-01,1043.5643954545455
2025-02-01,1058.4625
2025-03-01,1069.0347222222222
2025-04-01,1121.5679842105264
2025-05-01,1147.52916
2025-06-01,1181.3552631578948
2025-07-01,1267.022731818182
2025-08-01,1329.537495
2025-09-01,1399.8977363636363
2025-10-01,1432.0227272727273
2025-11-01,1427.6176470588234
2025-12-01,1447.8377210526317
