DateKey,AnioMes,ProductoID,TipoVasija,Litros,ValorInventario,MermaPct,DIODias,EstadoCalidad
20250101,2025-01,PRD-01,Piletas de Acero Inoxidable,16992.7,8332917.75,0.0081,60.4,Estabilizado
20250101,2025-01,PRD-01,Barricas de Roble Frances,46231.0,34589939.69,0.0367,337.3,En Crianza
20250101,2025-01,PRD-01,Barricas de Roble Americano,29548.6,18581965.43,0.0334,277.6,En Crianza
20250101,2025-01,PRD-01,Botellero en Estiba Climatizada,21471.1,15448388.11,0.0019,147.2,Estiba Fina
20250101,2025-01,PRD-02,Piletas de Acero Inoxidable,14110.5,7259313.28,0.0075,64.2,Estabilizado
20250101,2025-01,PRD-02,Barricas de Roble Frances,37448.3,29124916.12,0.0396,347.2,En Crianza
20250101,2025-01,PRD-02,Barricas de Roble Americano,19556.9,12724485.41,0.035,280.2,En Crianza
20250101,2025-01,PRD-02,Botellero en Estiba Climatizada,15431.0,11660533.01,0.0022,156.8,Estiba Fina
20250101,2025-01,PRD-03,Piletas de Acero Inoxidable,130107.6,21930905.74,0.0093,76.4,Aprobado Enologia
20250101,2025-01,PRD-03,Barricas de Roble Frances,11645.1,4174769.49,0.033,159.4,En Crianza
20250101,2025-01,PRD-03,Barricas de Roble Americano,38459.2,10077928.72,0.028,143.4,En Crianza
20250101,2025-01,PRD-03,Botellero en Estiba Climatizada,28452.6,7205014.01,0.0025,75.1,Estiba Fina
20250101,2025-01,PRD-04,Piletas de Acero Inoxidable,33327.7,11314080.92,0.0088,91.5,Estabilizado
20250101,2025-01,PRD-04,Barricas de Roble Frances,10015.4,5720457.6,0.0316,184.6,En Crianza
20250101,2025-01,PRD-04,Barricas de Roble Americano,2879.5,1207946.62,0.027,128.6,En Crianza
20250101,2025-01,PRD-04,Botellero en Estiba Climatizada,21002.4,10933104.05,0.0015,218.1,Estiba Fina
20250101,2025-01,PRD-05,Piletas de Acero Inoxidable,206710.8,15647353.26,0.0068,45.8,Aprobado Enologia
20250101,2025-01,PRD-05,Barricas de Roble Frances,2877.5,529719.62,0.0309,93.3,En Crianza
20250101,2025-01,PRD-05,Barricas de Roble Americano,11469.2,1517147.4,0.0273,76.0,En Crianza
20250101,2025-01,PRD-05,Botellero en Estiba Climatizada,36974.8,3495461.36,0.0012,34.2,Estiba Fina
20250201,2025-02,PRD-01,Piletas de Acero Inoxidable,22761.9,11141583.6,0.0079,58.4,Estabilizado
20250201,2025-02,PRD-01,Barricas de Roble Frances,50323.1,38145095.53,0.0388,332.7,En Crianza
20250201,2025-02,PRD-01,Barricas de Roble Americano,32366.7,20371436.84,0.0337,273.5,En Crianza
20250201,2025-02,PRD-01,Botellero en Estiba Climatizada,23107.0,16934306.12,0.002,149.9,Estiba Fina
20250201,2025-02,PRD-02,Piletas de Acero Inoxidable,18651.2,9643297.82,0.0072,63.5,Estabilizado
20250201,2025-02,PRD-02,Barricas de Roble Frances,39276.9,31253535.67,0.0397,350.2,En Crianza
20250201,2025-02,PRD-02,Barricas de Roble Americano,21599.4,13939159.69,0.0356,284.3,En Crianza
20250201,2025-02,PRD-02,Botellero en Estiba Climatizada,16363.9,12475196.29,0.0022,156.7,Estiba Fina
20250201,2025-02,PRD-03,Piletas de Acero Inoxidable,177615.8,30050745.98,0.0091,76.7,Aprobado Enologia
20250201,2025-02,PRD-03,Barricas de Roble Frances,12893.6,4671619.41,0.0335,160.4,En Crianza
20250201,2025-02,PRD-03,Barricas de Roble Americano,42986.8,11490326.26,0.0287,136.7,En Crianza
20250201,2025-02,PRD-03,Botellero en Estiba Climatizada,30680.9,7775907.24,0.0026,76.6,Estiba Fina
20250201,2025-02,PRD-04,Piletas de Acero Inoxidable,42398.4,14650825.48,0.0084,88.5,Estabilizado
20250201,2025-02,PRD-04,Barricas de Roble Frances,10382.8,5878619.73,0.0325,178.1,En Crianza
20250201,2025-02,PRD-04,Barricas de Roble Americano,3178.2,1364461.54,0.0277,133.7,En Crianza
20250201,2025-02,PRD-04,Botellero en Estiba Climatizada,23337.0,12237592.55,0.0015,217.4,Estiba Fina
20250201,2025-02,PRD-05,Piletas de Acero Inoxidable,270300.5,20310737.33,0.0071,45.0,Aprobado Enologia
20250201,2025-02,PRD-05,Barricas de Roble Frances,3104.0,563889.92,0.0312,93.5,En Crianza
20250201,2025-02,PRD-05,Barricas de Roble Americano,12475.3,1647216.25,0.0279,73.8,En Crianza
20250201,2025-02,PRD-05,Botellero en Estiba Climatizada,39737.5,3865566.47,0.0012,35.5,Estiba Fina
20250301,2025-03,PRD-01,Piletas de Acero Inoxidable,25703.9,12684127.41,0.0081,60.1,Estabilizado
20250301,2025-03,PRD-01,Barricas de Roble Frances,57595.5,44678290.52,0.0375,323.8,En Crianza
