DateKey,AnioMes,CentroCostoID,CuentaID,OPEXPresupuestado,OPEXReal,DesvioOPEX,DesvioPorcentual
20250101,2025-01,CC-101,5.2.01,9633068.2,9555551.59,-77516.61,-0.008
20250101,2025-01,CC-102,5.2.02,9763112.05,9475343.04,-287769.01,-0.0295
20250101,2025-01,CC-103,5.2.02,8484763.35,8189144.76,-295618.59,-0.0348
20250101,2025-01,CC-104,5.2.01,13295121.96,13257999.53,-37122.43,-0.0028
20250101,2025-01,CC-201,5.2.04,10813906.37,11508369.69,694463.32,0.0642
20250101,2025-01,CC-202,5.2.02,16828609.69,17947605.02,1118995.33,0.0665
20250101,2025-01,CC-203,5.2.03,10652007.72,11331363.77,679356.05,0.0638
20250201,2025-02,CC-101,5.2.03,8671782.01,8053223.43,-618558.58,-0.0713
20250201,2025-02,CC-102,5.2.02,10801897.41,11641145.66,839248.25,0.0777
20250201,2025-02,CC-103,5.2.01,9709830.72,8873967.22,-835863.5,-0.0861
20250201,2025-02,CC-104,5.2.02,8448804.89,9200105.51,751300.62,0.0889
20250201,2025-02,CC-201,5.2.02,13971616.13,13352733.0,-618883.13,-0.0443
20250201,2025-02,CC-202,5.2.01,13108254.08,13318871.17,210617.09,0.0161
20250201,2025-02,CC-203,5.2.02,14209795.76,13517796.64,-691999.12,-0.0487
20250301,2025-03,CC-101,5.2.01,16508432.86,15981171.4,-527261.46,-0.0319
20250301,2025-03,CC-102,5.2.03,14635448.19,13223821.48,-1411626.71,-0.0965
20250301,2025-03,CC-103,5.2.03,11099228.43,10848121.26,-251107.17,-0.0226
20250301,2025-03,CC-104,5.2.02,12978328.71,11888174.76,-1090153.95,-0.084
20250301,2025-03,CC-201,5.2.01,15691445.11,14874105.61,-817339.5,-0.0521
20250301,2025-03,CC-202,5.2.02,14447415.96,15555629.09,1108213.13,0.0767
20250301,2025-03,CC-203,5.2.02,13180646.52,14010952.19,830305.67,0.063
20250401,2025-04,CC-101,5.2.03,14280463.43,13969385.75,-311077.68,-0.0218
20250401,2025-04,CC-102,5.2.02,15897443.93,15338399.21,-559044.72,-0.0352
20250401,2025-04,CC-103,5.2.02,13283342.1,14133309.99,849967.89,0.064
20250401,2025-04,CC-104,5.2.03,11168515.01,10795585.71,-372929.3,-0.0334
20250401,2025-04,CC-201,5.2.01,12052806.11,13016451.69,963645.58,0.08
20250401,2025-04,CC-202,5.2.04,17229139.39,17572315.43,343176.04,0.0199
20250401,2025-04,CC-203,5.2.02,14276128.26,15685470.45,1409342.19,0.0987
20250501,2025-05,CC-101,5.2.01,8084015.37,7688361.73,-395653.64,-0.0489
20250501,2025-05,CC-102,5.2.02,14797900.07,15999841.47,1201941.4,0.0812
20250501,2025-05,CC-103,5.2.02,16427319.31,16284788.97,-142530.34,-0.0087
20250501,2025-05,CC-104,5.2.03,7982738.93,7953297.99,-29440.94,-0.0037
20250501,2025-05,CC-201,5.2.02,9538080.49,9195312.59,-342767.9,-0.0359
20250501,2025-05,CC-202,5.2.04,15494943.13,14202912.16,-1292030.97,-0.0834
20250501,2025-05,CC-203,5.2.02,16103393.39,16008177.23,-95216.16,-0.0059
20250601,2025-06,CC-101,5.2.02,13556703.24,12468418.43,-1088284.81,-0.0803
20250601,2025-06,CC-102,5.2.04,10710949.86,9851226.92,-859722.94,-0.0803
